"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
1323,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Proyecto de rehabilitación eléctrica para 57 pozos","Varios","Varias",51537467.01,"1",NA,"CAASIM","Extraordinario 2023 CAASIM 303.18 mdp",NA,"Considera los trabajos del proyecto ejecutivo, para la rehabilitación eléctrica de pozos.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1324,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Agua potable","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para el mantenimiento preventivo y correctivo de Infraestructura Hidáulica","Varios","Varias",2649711.44,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera el Equipamiento para el mantenimiento preventivo en varias localidades del Estado.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1325,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Obras emergentes de mantenimiento Correctivo en la Zona de Influencia de la CAASIM, mediante la construcción y rehabilitación de cajas de válvulas y atraques-2024","Varios","Varias",1798000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1326,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Desabasto de agua","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Ampliación, rehabilitación y reubicación de redes de líneas de conducción en la zona de influencia de la CAASIM-2024","Varios","Varias",14036000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera los trabajos de mejoramiento en Infraestructura hídrica en la localidad de Varias municipio de Varios",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1327,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Construcción, ampliación y rehabilitación de obra civil, en la zona de influencia de la CAASIM, en los bienes inmuebles propiedad de la CAASIM-2024","Varios","Varias",12888406.6,"0.08",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",1108,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1328,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Rehabilitación de pozos","Varios","Varias",3012558.96,"en proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera los trabajos para la rehabilitación en varios pozos.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1329,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento electromecánico para plantas de bombeo en la zona de influencia de la CAASIM","Varios","Varias",6226165.97,"1",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera el equipamiento para la rehabilitación en varios pozos.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1330,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Rehabilitación de pozos profundos.","Varios","Varias",14268744.56,"En proceso de validación",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos para la rehabilitación en varios pozos.",163556,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1331,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para el Programa de Devolución de Derechos","Varios","Varias",12872611.64,"En proceso de contratación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1332,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para el Sistema Informático y de Telecomunicaciones","Varios","Varias",3120234.12,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1333,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Agua potable","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para Extracción de Agua Potable","Varios","Varias",7246699.8,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera el Equipamiento para para Extracción de Agua Potable en varias localidades del Estado.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1334,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Bacheo emergente de reposición de pavimento de concreto hidráulico, asfáltico u otros por trabajos de la CAASIM, Zona 1-2024","Varios","Varias",2320000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1335,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Bacheo emergente de reposición de pavimento de concreto hidráulico, asfáltico u otros por trabajos de la CAASIM, Zona 2-2024","Varios","Varias",2320000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1336,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Bacheo emergente de reposición de pavimento de concreto hidráulico, asfáltico u otros por trabajos de la CAASIM, Zona 3-2024","Varios","Varias",2320000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1337,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Bacheo emergente de reposición de pavimento de concreto hidráulico, asfáltico u otros por trabajos de la CAASIM, Zona 4-2024","Varios","Varias",2320000,"En proceso de adjudicación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1338,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Cercados con malla ciclónica en los bienes inmuebles no propiedad de la CAASIM-2024","Varios","Varias",1493082.54,"0.4",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",1115,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1339,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Cercados con malla ciclónica en los bienes inmuebles propiedad de la CAASIM-2024","Varios","Varias",397034.84,"0.63",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",522378,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1340,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Sustitución de líneas de alcantarillado en zona de influencia de CAASIM.","Varios","Varias",1.5e+07,"en proceso de validación",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos de excavaciones y rellenos, descargas domiciliarias, red de alcantarillado.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1341,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para el mantenimiento preventivo y correctivo de Infraestructura Sanitaria y su Bacheo","Varios","Varias",1353272.24,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera equipamiento para de mejoramiento a la infraestructura sanitaria.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1342,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Construcción, ampliación, rehabilitiación y reubicación de descargas domiciliarias, red de atarjeas y colectores en la zona de influencia de la CAASIM-2024","Varios","Varias",2958147.52,"1",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera los trabajos de excavaciones, descargas domiciliarias,  instalación de  tubería.",477088,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1343,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Planta de tratamiento","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para el Tratamiento de Aguas Residuales","Varios","Varias",6935638.84,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Considera el equipamiento para diferentes Plantas de Tratamiento en el Estado.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1344,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento apra medir la calidad del agua Potable que se entrega a la Población","Varios","Varias",644834.72,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1345,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para medir la calidad del Agua Residual y Residual Tratada","Varios","Varias",419574.32,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1346,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del agua","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento para la potablización de agua que se entrega a la Población","Varios","Varias",665869,"En proceso de validación",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1347,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Equipo para determinar la Demanda Biológica de Oxigeno (DBO), para muestreo de aguas residuales","Varios","Varias",35000,"0.95",NA,"CEAA","Añadidas del reporte enero 2025",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1348,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Cobertura Estatal",2024,"Suministro, instalación y prueba de planta purificadora","Varios","Varias",352000,"0.9",NA,"CEAA","Añadidas del reporte enero 2025",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",1200,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1349,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Cobertura Estatal",2024,"Certificación de laboratorio de la CEAA bajo el sistema de Gestión de Calidad ISO 17025","Varios","Varias",230000,"0.7",NA,"CEAA","Añadidas del reporte enero 2025",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1350,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Pozo rehabilitado y equipados","Infraestructura Hídrica","Cobertura Estatal",2025,"Adquisición de luminarias para pozos, tanques y rebombeos","Varios","Varias",29951406.87,"0",NA,"CAASIM","Obras 2025",NA,"Tiene como objetivo mejorar la seguridad y eficiencia operativa de las instalaciones hidráulicas, contribuyendo a disminuir tiempos de paros de servicio. Estas luminarias, equipadas con tecnología solar, al utilizar paneles solares, se garantiza una iluminación constante en áreas críticas, incluso en lugares remotos o de difícil acceso.",NA,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1351,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Saneamiento","Infraestructura Hídrica","Cobertura Estatal",2025,"Adquisición de equipo hidroneumático de desazolve para la limpieza de alcantarillados por agua a presión y succión 16 yds","Varios","Varias",21650000,"0",NA,"CAASIM","Obras 2025",NA,"Camión hidroneumático combinado para limpieza de alcantarillas por medio de alta succión y alta presión, así como cualquier tipo de lodos y otros desechos en líneas subterráneas, industriales, pluviales, sanitarias y/o urbanas, consiste en: tanque de almacenamiento de lodos con capacidad de 16 yd3 (yardas cubicas) que en su cuerpo sea de forma cilíndrica en acero inoxidable aisi304 calibre 3/16” (pulgadas), tapa delantera y tapa trasera de forma cóncava fabricadas en acero al carbón.",NA,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1352,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Cobertura Estatal",2025,"Adquisición de Minicargador (incluye remolque tipo cama baja, capacidad 3 toneladas)","Varios","Varias",2400000,"0",NA,"CAASIM","Obras 2025",NA,"Adquisición de “1 mini cargador BOBCAT y 1 remolque para trasporte de mini cargador”, para trabajos como carga y descarga, excavación, transporte y manipulación de equipos, para dar cumplimiento a las actividades de la Dirección de Infraestructura Urbana.",NA,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1368,13078,"Xochiatipan",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Xochiatipan","Xochiatipan","Ohuatipa, Pohuantitla",2986132.43,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",80,NA,"Municipio_1",18260,18260,"ohuatipa, pohuantitla","Xochiatipan"
1372,13078,"Xochiatipan",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 4. Huejutla",2023,"Construcción de Sanitario con Biodigestor, en el municipio de Xochiatipan","Xochiatipan","Varias",1758659.25,"1",NA,"SIPDUS","OBRAS NUEVAS SOPOT",NA,"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor.",88,NA,"Municipio_1",18260,18260,"varias","Xochiatipan"
1373,13078,"Xochiatipan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Xochiatipan","Xochiatipan","Varias",5755792.4,"1",224,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",18260,18260,"varias","Xochiatipan"
1386,13080,"Yahualica",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Yahualica","Yahualica","Atlalco, Chiatitla",746533.11,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",20,NA,"Municipio_1",24674,24674,"atlalco, chiatitla","Yahualica"
1403,13080,"Yahualica",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de cuarto dormitorio, en el municipio de Yahualica","Yahualica","Varias",3339814.23,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",132,NA,"Municipio_1",24674,24674,"varias","Yahualica"
1404,13080,"Yahualica",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Yahualica","Yahualica","Varias",4988148.49,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",196,NA,"Municipio_1",24674,24674,"varias","Yahualica"
1409,13081,"Zacualtipán de Ángeles",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Zacualtipán de Ángeles","Zacualtipán de Ángeles","El Reparo, Tlahuelompa, Zacualtipán",1265183.2,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",36,NA,"Municipio_1",38155,38155,"el reparo, tlahuelompa, zacualtipan","Zacualtipán de Ángeles"
1452,13083,"Zempoala",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VI Tizayuca","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Línea de interconexión del pozo Matilde 3 a la red de distribución, tramo pozo Matilde 3 a coordenadas UTM 521773.28 m E - 2204606.77 m N Etapa 1, localidad de Téllez, municipio de Zempoala, Hidalgo","Zempoala","Téllez",1672311.92,"0.3",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en la localidad de  Téllez municipio de Zempoala",3639,NA,"Municipio_1",57906,57906,"tellez","Zempoala"
1453,13083,"Zempoala",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VI Tizayuca","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Línea de interconexión del pozo Matilde 3 a la red de distribución, tramo coordenadas UTM 526704.82 m E - 2202053.23 m N a coordenadas UTM 526712.33 m E - 2202470.61 m N Etapa 2, localidad de Téllez, municipio de Zempoala, Hidalgo","Zempoala","Téllez",1532005.4,"0.1",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en la localidad de  Téllez municipio de Zempoala",3639,NA,"Municipio_1",57906,57906,"tellez","Zempoala"
1454,13083,"Zempoala",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VI Tizayuca","Planta de tratamiento","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Equipamiento de la PTAR Matilde","Zempoala","Téllez",40790319.63,"0",3639,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera el equipamiento para la Planta de Tratamiento en Matilde.",NA,NA,"Municipio_1",57906,57906,"tellez","Zempoala"
1455,13083,"Zempoala",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VI Tizayuca","Planta de tratamiento","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Construcción de línea morada desde la Planta de Tratamiento de Agua Residual Matilde, municipio de Zempoala, Hgo. Tramo  PTAR Matilde. Etapa 1","Zempoala","Téllez",1181691.35,"0",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos para la construcción de línea morada desde la Planta de Tratamiento de Agua Residual Matilde,",3639,NA,"Municipio_1",57906,57906,"tellez","Zempoala"
1456,13083,"Zempoala",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","VI Tizayuca","Líneas de distribución","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Línea de conducción por bombeo de pozo 6 Termal a Tanque Tellez","Zempoala","Téllez",2621232.23,"0.1",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",3266,NA,"Municipio_1",57906,57906,"tellez","Zempoala"
1457,13083,"Zempoala",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VI Tizayuca","Líneas de distribución","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Mejoramiento del sistema de agua potable de Zempoala, Santa Cruz, San Antonio Oxtoyucan, Rancho Luna y El Cerrito, Municipio de Zempoala etapa una de dos","Zempoala","Varias",7017519.41,"1",NA,"CEAA","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",1810,NA,"Municipio_1",57906,57906,"varias","Zempoala"
1458,13083,"Zempoala","2024/C411","2do. Informe JMS","septiembre 2023-agosto 2024","VI Tizayuca","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Pavimentación en calle Primero de Mayo, Fraccionamientos, en el municipio de Zempoala","Zempoala","Varias",14727843.51,"0.96",NA,"DGCCE","Cartera SIPDUS 2024",0.904,"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico.",7205,NA,"Municipio_1",57906,57906,"varias","Zempoala"
1459,13083,"Zempoala","2024/C229","3er. Informe JMS","septiembre 2024-agosto 2025","VI Tizayuca","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Pavimentación de la calle Alcatraz, colonia Estación Tepa, en el municipio de Zempoala","Zempoala","Varias",2106826.06,"1",NA,"DGOPI","Cartera SIPDUS 2024 sin of.de aut.",0.22,"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico.",7205,NA,"Municipio_1",57906,57906,"varias","Zempoala"
1467,13083,"Zempoala",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VI Tizayuca","Líneas de distribución","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Mejoramiento del sistema de agua potable de Zempoala, Santa Cruz, San Antonio Oxtoyucan, Rancho Luna y el Cerrito, municipio de Zempoala,&#10;etapa dos de dos","Zempoala","Zempoala, Santa Cruz, San Antonio Oxtoyucan, Rancho Luna y el Cerrito",6626433.53,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",9015,NA,"Municipio_1",57906,57906,"zempoala, santa cruz, san antonio oxtoyucan, rancho luna y el cerrito","Zempoala"
1473,13084,"Zimapán",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cuartos dormitorios en el municipio de Zimapán","Zimapán","Llano  Segundo, Llano Blanco, Llano Norte, Puerto Juárez, Xhitá Primero, Zimapán",2245269.44,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",64,NA,"Municipio_1",39927,39927,"llano segundo, llano blanco, llano norte, puerto juarez, xhita primero, zimapan","Zimapán"
1478,13084,"Zimapán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de cuarto dormitorio, en el municipio de Zimapán","Zimapán","Varias",1526428.73,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",60,NA,"Municipio_1",39927,39927,"varias","Zimapán"
